source_cbsa_code,source_metro,source_cluster,neighbor_rank,neighbor_cbsa_code,neighbor_metro,neighbor_cluster,distance,neighbor_annual_rent,neighbor_rpp_all_items,neighbor_rpp_housing,neighbor_median_household_income,neighbor_real_household_income,neighbor_mean_real_occ_wage,neighbor_mean_real_income_after_rent,neighbor_mean_rent_burden,neighbor_share_high_lq
10740,"Albuquerque, NM",4,5,28940,"Knoxville, TN",4,4.007138168556758,13740.0,92.569,82.783,72422.0,78235.69445494712,64160.4664692093,49317.48447739778,0.27624760022122646,0.29259259259259257
10740,"Albuquerque, NM",4,6,24860,"Greenville-Anderson-Greer, SC",4,4.082679134467964,13800.0,93.26,76.836,71240.0,76388.59103581385,64467.9390950032,49670.598327257125,0.27513359975790086,0.2655038759689923
10740,"Albuquerque, NM",4,7,38300,"Pittsburgh, PA",4,4.2867059043245614,12636.0,94.671,71.986,75762.0,80026.6184998574,66463.37941855424,53116.103061486065,0.23725910596419883,0.24960753532182103
10740,"Albuquerque, NM",4,8,40380,"Rochester, NY",4,4.427798061127306,13716.0,97.035,87.481,76284.0,78614.93275622198,68855.4798247465,54720.37393511904,0.23952373161743856,0.31393298059964725
10740,"Albuquerque, NM",4,9,13820,"Birmingham, AL",4,4.436857972004079,14064.0,91.644,71.851,71498.0,78017.10968530399,65723.20893893762,50376.868753000745,0.2824240211735994,0.31392931392931395
10740,"Albuquerque, NM",4,10,12260,"Augusta-Richmond County, GA-SC",4,4.460539052276576,13440.0,91.903,70.603,69344.0,75453.46724263625,65140.91119212998,50516.79663656596,0.2768530164375221,0.271264367816092
10780,"Alexandria, LA",2,1,33740,"Monroe, LA",2,4.17273056155085,11172.0,83.597,42.815,51660.0,61796.4759500939,62682.74243490622,49318.626497731435,0.26206553733126503,0.40601503759398494
10780,"Alexandria, LA",2,2,22500,"Florence, SC",2,4.337936598720006,11208.0,86.774,52.425,54443.0,62741.14366054348,62566.05390515404,49649.74256765663,0.24883360441537591,0.35125448028673834
10780,"Alexandria, LA",2,3,43340,"Shreveport-Bossier City, LA",2,4.352585670608815,12168.0,84.766,52.286,55925.0,65975.74499209588,63475.7282131115,49120.916142234026,0.2779671839710722,0.3884057971014493
10780,"Alexandria, LA",2,4,16020,"Cape Girardeau, MO-IL",2,4.844990686960714,10368.0,86.078,56.422,66759.0,77556.40233276795,63408.829935150614,51363.940416342084,0.22389822940887097,0.32857142857142857
