cbsa_code,bls_msa_name,metro_name_norm
40420,"Rockford, IL",rockford il
40580,"Rocky Mount, NC",rocky mount nc
40660,"Rome, GA",rome ga
40900,"Sacramento-Roseville-Folsom, CA",sacramento roseville folsom ca
40980,"Saginaw, MI",saginaw mi
41060,"St. Cloud, MN",st cloud mn
41100,"St. George, UT",st george ut
41140,"St. Joseph, MO-KS",st joseph mo ks
41180,"St. Louis, MO-IL",st louis mo il
41420,"Salem, OR",salem or
41500,"Salinas, CA",salinas ca
41540,"Salisbury, MD",salisbury md
41620,"Salt Lake City-Murray, UT",salt lake city murray ut
41660,"San Angelo, TX",san angelo tx
41700,"San Antonio-New Braunfels, TX",san antonio new braunfels tx
41740,"San Diego-Chula Vista-Carlsbad, CA",san diego chula vista carlsbad ca
41780,"Sandusky, OH",sandusky oh
41860,"San Francisco-Oakland-Fremont, CA",san francisco oakland fremont ca
41940,"San Jose-Sunnyvale-Santa Clara, CA",san jose sunnyvale santa clara ca
41980,"San Juan-Bayamon-Caguas, PR",san juan bayamon caguas pr
42020,"San Luis Obispo-Paso Robles, CA",san luis obispo paso robles ca
42100,"Santa Cruz-Watsonville, CA",santa cruz watsonville ca
42140,"Santa Fe, NM",santa fe nm
42200,"Santa Maria-Santa Barbara, CA",santa maria santa barbara ca
42220,"Santa Rosa-Petaluma, CA",santa rosa petaluma ca
42340,"Savannah, GA",savannah ga
42540,"Scranton--Wilkes-Barre, PA",scranton wilkes barre pa
42660,"Seattle-Tacoma-Bellevue, WA",seattle tacoma bellevue wa
42680,"Sebastian-Vero Beach-West Vero Corridor, FL",sebastian vero beach west vero corridor fl
42700,"Sebring, FL",sebring fl
43100,"Sheboygan, WI",sheboygan wi
43300,"Sherman-Denison, TX",sherman denison tx
43340,"Shreveport-Bossier City, LA",shreveport bossier city la
43420,"Sierra Vista-Douglas, AZ",sierra vista douglas az
43580,"Sioux City, IA-NE-SD",sioux city ia ne sd
43620,"Sioux Falls, SD-MN",sioux falls sd mn
43640,"Slidell-Mandeville-Covington, LA",slidell mandeville covington la
43780,"South Bend-Mishawaka, IN-MI",south bend mishawaka in mi
43900,"Spartanburg, SC",spartanburg sc
44060,"Spokane-Spokane Valley, WA",spokane spokane valley wa
44100,"Springfield, IL",springfield il
44140,"Springfield, MA",springfield ma
44180,"Springfield, MO",springfield mo
44220,"Springfield, OH",springfield oh
44300,"State College, PA",state college pa
44420,"Staunton-Stuarts Draft, VA",staunton stuarts draft va
44700,"Stockton-Lodi, CA",stockton lodi ca
44940,"Sumter, SC",sumter sc
45060,"Syracuse, NY",syracuse ny
45220,"Tallahassee, FL",tallahassee fl
45300,"Tampa-St. Petersburg-Clearwater, FL",tampa st petersburg clearwater fl
45460,"Terre Haute, IN",terre haute in
45500,"Texarkana, TX-AR",texarkana tx ar
45780,"Toledo, OH",toledo oh
45820,"Topeka, KS",topeka ks
45900,"Traverse City, MI",traverse city mi
45940,"Trenton-Princeton, NJ",trenton princeton nj
46060,"Tucson, AZ",tucson az
46140,"Tulsa, OK",tulsa ok
46220,"Tuscaloosa, AL",tuscaloosa al
46300,"Twin Falls, ID",twin falls id
46340,"Tyler, TX",tyler tx
46520,"Urban Honolulu, HI",urban honolulu hi
46540,"Utica-Rome, NY",utica rome ny
46660,"Valdosta, GA",valdosta ga
46700,"Vallejo, CA",vallejo ca
47020,"Victoria, TX",victoria tx
47220,"Vineland, NJ",vineland nj
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",virginia beach chesapeake norfolk va nc
47300,"Visalia, CA",visalia ca
47380,"Waco, TX",waco tx
47460,"Walla Walla, WA",walla walla wa
47580,"Warner Robins, GA",warner robins ga
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",washington arlington alexandria dc va md wv
47930,"Waterbury-Shelton, CT",waterbury shelton ct
47940,"Waterloo-Cedar Falls, IA",waterloo cedar falls ia
48060,"Watertown-Fort Drum, NY",watertown fort drum ny
48140,"Wausau, WI",wausau wi
48260,"Weirton-Steubenville, WV-OH",weirton steubenville wv oh
48300,"Wenatchee-East Wenatchee, WA",wenatchee east wenatchee wa
48540,"Wheeling, WV-OH",wheeling wv oh
48620,"Wichita, KS",wichita ks
48660,"Wichita Falls, TX",wichita falls tx
48680,"Wildwood-The Villages, FL",wildwood villages fl
48700,"Williamsport, PA",williamsport pa
48900,"Wilmington, NC",wilmington nc
49020,"Winchester, VA-WV",winchester va wv
49180,"Winston-Salem, NC",winston salem nc
49340,"Worcester, MA",worcester ma
49420,"Yakima, WA",yakima wa
49620,"York-Hanover, PA",york hanover pa
49660,"Youngstown-Warren, OH",youngstown warren oh
49700,"Yuba City, CA",yuba city ca
49740,"Yuma, AZ",yuma az
